config_id,barcode,sku_id
CABLCHTSH,8904468815683,CAP3537883658
CABLCHTSH,8904468815690,CAP5427791236
BW_MAS_BLACKCHEETAHSAT_BLACK_01,NSPJOST-2067-L,BBB9221027895
BW_MAS_BLACKCHEETAHSAT_BLACK_01,NSPJOST-2067-S,BBB4973241836
CABLCOTRTO,8904468839979,CAP7262269348
CABLCOTRTO,8904468839993,CAP7579193752
CABLCOTRTO,8904468840012,CAP8865042593
CABLCOOVPRTEWO,8904468851629,CAP7772606323
C224VTC074 _black,C224VTC074-L,RCP6422998981
C224VTC074 _black,C224VTC074-XL,RCP5681040105
C224VTC074 _black,C224VTC074-XS,RCP4899149629
CABLDAFLPA,8904468800825,CAP1651129569
RWBLDECABL,8904344214906,RPL4985511564
CABLDUSHADHO,8904468810428,CAP5601769126
CABLDUSHADHO,8904468810435,CAP8741410823
CABLDUSHADHO,8904468810442,CAP3938662312
CABLDUSLADJO,8904468811098,CAP5141998977
CABLDUSLADJO,8904468811104,CAP7935926895
CABLEL247CIJA,8904468808821,CAP7403690998
CABLKEL247SELE,8904468809750,CAP7311905280
CABLKEL247SPBR,8904468808630,CAP1256254970
CABLKEL247SPBR,8904468808647,CAP7841071037
CABLKEL247SPBR,8904468808654,CAP3693699075
C224VTC125 _Black,C224VTC125-S,RCP4584380229
BW_DAS_DASHDOTBLACK_BLACK_01,5916204516371,DAD8584473341
BW_DAS_DASHDOTBLACK_BLACK_01,8968849835371,DAD5144406293
EWBLGEEVDR,PBWEW00000012,ESL4783137446
EWBLGEEVDR,PBWEW00000015,ESL5113679034
CABLGOANJO,8904468811333,CAP1285970200
CABLGOANJO,8904468811340,CAP4434486702
BW_CRA_BACKGRAFFTI_BLACK_01,8905202269298,HOB5460969214
BW_PAS_HALTERBOW_BLACK_01,PM000112,PML1983300175
